court_TL
court_BL
court_TR
court_BR
center_T
center_B
center_spot
goalpost_L_T
goalpost_L_B
goalpost_R_T
goalpost_R_B
6m_base_L_T
6m_base_L_B
6m_vertex_L_T
6m_vertex_L_B
6m_base_R_T
6m_base_R_B
6m_vertex_R_T
6m_vertex_R_B
9m_base_L_T
9m_base_L_B
9m_vertex_L_T
9m_vertex_L_B
9m_base_R_T
9m_base_R_B
9m_vertex_R_T
9m_vertex_R_B
7m_L
7m_R
4m_L
4m_R
